3009,160 E Huron St,"(41.895088; -87.623576)"
4268,10052 S Ewing Ave,"(41.712353; -87.53545)"
4401,1920 N Hamlin Ave,"(41.915877; -87.721776)"
15,1060 E 47th St,"(41.809728; -87.600232)"
5971,1801 W 18th St,"(41.857592; -87.671323)"
3620,180 E Ontario St,"(41.893487; -87.623176)"
3044,1465 W Irving Park Rd,"(41.954187; -87.666558)"
3736,1501 W Randolph St,"(41.884566; -87.664407)"
894,1944 N Damen Ave,"(41.91716; -87.677775)"
4431,11533 S Ada St,"(41.684247; -87.655311)"
1354,201 w 22nd Pl,"(41.852031; -87.632275)"
4067,221 N Wells St,"(41.886334; -87.633896)"
6045,2255 N Clark St,"(41.923267; -87.638858)"
3767,1076 W Roosevelt Rd,"(41.867252; -87.653925)"
4343,1147 N Western Ave,"(41.902305; -87.686813)"
57,1925 N Milwaukee Ave,"(41.91663; -87.686841)"
1446,1310 E 63rd St,"(41.780667; -87.594212)"
1538,101 W 87th St,"(41.736223; -87.626737)"
6543,1705 W 18th St,"(41.857621; -87.668975)"
4070,223 N Wells St,"(41.886344; -87.633888)"
5259,2245 N Southport Ave,"(41.922422; -87.662975)"
4682,1431 N Claremont Ave,"(41.907218; -87.685744)"
6275,2131 N Southport Ave,"(41.920906; -87.662986)"
2255,1677 W Bryn Mawr Ave,"(41.983303; -87.671563)"
2315,2225 W Chicago Ave,"(41.895703; -87.682673)"
2133,1500 W Belmont Ave,"(41.939862; -87.666453)"
215,1701 N Milwaukee Ave,"(41.912359; -87.680386)"
2672,180 S Franklin St,"(41.879698; -87.635425)"
3738,188 W Randolph St,"(41.88459; -87.633494)"
